station,year,annual_obs_n,rice_season_obs_n,rice_season_months_n,rice_season_months,rice_season_first_date,rice_season_last_date,rice_season_median_gap_days,has_apr_sep_all_6_months,has_at_least_4_rice_months
PO018014NRP001,2021,4,2,2,5_8,2021-05-04,2021-08-27,115.0,False,False
PO018014NRP001,2022,4,2,2,4_8,2022-04-27,2022-08-12,107.0,False,False
PO018014NRP001,2023,3,2,2,5_8,2023-05-30,2023-08-31,93.0,False,False
PO018032NR0001,2015,4,2,2,5_7,2015-05-04,2015-07-29,86.0,False,False
PO018032NR0001,2016,10,6,6,4_5_6_7_8_9,2016-04-18,2016-09-15,29.0,True,True
PO018032NR0001,2017,12,6,6,4_5_6_7_8_9,2017-04-13,2017-09-27,28.0,True,True
PO018032NR0001,2018,8,3,3,5_7_8,2018-05-08,2018-08-23,53.5,False,False
PO018032NR0001,2019,8,3,3,5_7_8,2019-05-09,2019-08-28,55.5,False,False
PO018032NR0001,2020,5,3,3,6_7_8,2020-06-23,2020-08-25,31.5,False,False
PO0180350U0002,2015,3,2,2,5_7,2015-05-15,2015-07-21,67.0,False,False
PO0180350U0002,2016,4,2,2,5_8,2016-05-30,2016-08-16,78.0,False,False
PO0180350U0002,2017,3,2,2,5_8,2017-05-24,2017-08-09,77.0,False,False
PO0180350U0002,2018,7,4,4,5_6_7_8,2018-05-17,2018-08-22,29.0,False,True
PO0180350U0002,2019,5,2,2,5_8,2019-05-16,2019-08-23,99.0,False,False
PO0180350U0002,2020,1,0,0,,,,,False,False
PO0180350U0002,2021,5,2,2,5_9,2021-05-06,2021-09-15,132.0,False,False
PO0180350U0002,2022,4,2,2,4_5,2022-04-28,2022-05-16,18.0,False,False
PO0180350U0002,2023,2,1,1,5,2023-05-03,2023-05-03,,False,False
PO018039NR0001,2018,1,0,0,,,,,False,False
PO018039NR0001,2019,11,5,5,5_6_7_8_9,2019-05-30,2019-09-19,27.5,False,True
PO018039NR0001,2020,7,4,4,6_7_8_9,2020-06-24,2020-09-28,33.0,False,True
PO018039NR0001,2021,5,2,2,5_8,2021-05-18,2021-08-25,99.0,False,False
PO018039NR0001,2022,4,2,2,5_8,2022-05-19,2022-08-30,103.0,False,False
PO018039NR0001,2023,3,2,2,5_8,2023-05-23,2023-08-24,93.0,False,False
PO018039NRP001,2016,10,6,6,4_5_6_7_8_9,2016-04-19,2016-09-21,32.0,True,True
PO018039NRP001,2017,12,6,6,4_5_6_7_8_9,2017-04-21,2017-09-26,28.0,True,True
PO018039NRP001,2018,7,4,4,5_6_7_8,2018-05-28,2018-08-22,30.0,False,True
PO018043NUP001,2016,10,6,6,4_5_6_7_8_9,2016-04-15,2016-09-30,31.0,True,True
PO018043NUP001,2017,11,5,5,4_6_7_8_9,2017-04-27,2017-09-30,38.0,False,True
PO018043NUP001,2018,11,5,5,4_6_7_8_9,2018-04-26,2018-09-30,31.5,False,True
PO018043NUP001,2019,10,5,5,4_6_7_8_9,2019-04-18,2019-09-30,31.0,False,True
PO018043NUP001,2020,4,2,2,6_8,2020-06-30,2020-08-30,61.0,False,False
PO018043NUP001,2021,11,5,5,4_5_6_7_9,2021-04-22,2021-09-29,34.5,False,True
PO018043NUP001,2022,10,5,5,4_6_7_8_9,2022-04-22,2022-09-30,32.0,False,True
PO018043NUP001,2023,4,2,2,4_8,2023-04-18,2023-08-29,133.0,False,False
PO0180470U0001,2015,4,2,2,5_7,2015-05-28,2015-07-20,53.0,False,False
PO0180470U0001,2016,11,6,6,4_5_6_7_8_9,2016-04-15,2016-09-15,29.0,True,True
PO0180470U0001,2017,12,6,6,4_5_6_7_8_9,2017-04-13,2017-09-27,35.0,True,True
PO0180470U0001,2018,11,6,6,4_5_6_7_8_9,2018-04-20,2018-09-26,34.0,True,True
PO0180470U0001,2019,9,4,4,6_7_8_9,2019-06-04,2019-09-24,34.0,False,True
PO0180470U0001,2020,6,4,4,6_7_8_9,2020-06-23,2020-09-25,31.0,False,True
PO0180470U0001,2021,7,3,3,6_7_8,2021-06-15,2021-08-26,36.0,False,False
PO0180470U0001,2022,7,3,3,4_5_9,2022-04-27,2022-09-13,69.5,False,False
PO0180470U0001,2023,1,1,1,5,2023-05-24,2023-05-24,,False,False
PO018047NR0001,2015,4,2,2,6_7,2015-06-04,2015-07-29,55.0,False,False
PO018047NR0001,2016,11,6,5,4_5_7_8_9,2016-04-05,2016-09-06,34.0,False,True
PO018047NR0001,2017,12,6,5,4_5_7_8_9,2017-04-04,2017-09-06,30.0,False,True
PO018047NR0001,2018,13,6,3,5_7_9,2018-05-03,2018-09-04,26.0,False,False
PO018047NR0001,2019,12,6,6,4_5_6_7_8_9,2019-04-02,2019-09-03,29.0,True,True
PO018047NR0001,2020,11,6,6,4_5_6_7_8_9,2020-04-04,2020-09-01,28.0,True,True
PO018047NR0001,2021,12,7,6,4_5_6_7_8_9,2021-04-01,2021-09-23,30.0,True,True
PO018047NR0001,2022,8,3,3,6_7_8,2022-06-06,2022-08-03,29.0,False,False
PO018047NR0001,2023,11,6,6,4_5_6_7_8_9,2023-04-30,2023-09-26,30.0,True,True
PO0180480U0004,2015,10,5,5,4_5_6_7_9,2015-04-21,2015-09-14,35.0,False,True
PO0180480U0004,2016,10,4,4,4_5_6_9,2016-04-15,2016-09-15,38.0,False,True
PO0180480U0004,2017,12,6,6,4_5_6_7_8_9,2017-04-30,2017-09-30,31.0,True,True
PO0180480U0004,2018,12,6,6,4_5_6_7_8_9,2018-04-30,2018-09-28,35.0,True,True
PO0180480U0004,2019,3,1,1,5,2019-05-23,2019-05-23,,False,False
PO0180480U0004,2020,5,3,3,7_8_9,2020-07-22,2020-09-30,35.0,False,False
PO0180480U0004,2021,12,6,6,4_5_6_7_8_9,2021-04-21,2021-09-17,31.0,True,True
PO0180480U0004,2022,11,6,6,4_5_6_7_8_9,2022-04-21,2022-09-05,27.0,True,True
PO0180480U0004,2023,12,6,6,4_5_6_7_8_9,2023-04-11,2023-09-12,29.0,True,True
PO018048NRP001,2016,8,3,3,5_6_9,2016-05-23,2016-09-15,57.5,False,False
PO018048NRP001,2017,2,1,1,5,2017-05-18,2017-05-18,,False,False
PO018048NRP001,2018,11,6,6,4_5_6_7_8_9,2018-04-30,2018-09-28,35.0,True,True
PO018048NRP001,2019,3,1,1,5,2019-05-23,2019-05-23,,False,False
PO018048NRP001,2020,4,3,3,7_8_9,2020-07-22,2020-09-30,35.0,False,False
PO018048NRP001,2021,12,6,6,4_5_6_7_8_9,2021-04-21,2021-09-17,31.0,True,True
PO018048NRP001,2022,12,6,6,4_5_6_7_8_9,2022-04-21,2022-09-05,27.0,True,True
PO018048NRP001,2023,12,6,6,4_5_6_7_8_9,2023-04-11,2023-09-12,29.0,True,True
PO0180490U0003,2015,12,6,6,4_5_6_7_8_9,2015-04-08,2015-09-14,30.0,True,True
PO0180490U0003,2016,12,6,5,4_6_7_8_9,2016-04-26,2016-09-23,30.0,False,True
PO0180490U0003,2017,12,6,6,4_5_6_7_8_9,2017-04-21,2017-09-25,31.0,True,True
PO0180490U0003,2018,10,5,5,4_5_7_8_9,2018-04-23,2018-09-24,34.5,False,True
PO0180490U0003,2019,6,2,2,4_5,2019-04-19,2019-05-21,32.0,False,False
PO0180490U0003,2021,1,0,0,,,,,False,False
PO0180490U0003,2022,1,1,1,5,2022-05-30,2022-05-30,,False,False
PO0180500U0002,2015,12,6,6,4_5_6_7_8_9,2015-04-22,2015-09-15,26.0,True,True
PO0180500U0002,2016,12,6,6,4_5_6_7_8_9,2016-04-28,2016-09-27,31.0,True,True
PO0180500U0002,2017,11,6,6,4_5_6_7_8_9,2017-04-26,2017-09-12,30.0,True,True
PO0180500U0002,2018,9,7,6,4_5_6_7_8_9,2018-04-30,2018-09-30,22.5,True,True
PO0180500U0002,2019,1,1,1,5,2019-05-20,2019-05-20,,False,False
PO018062NRD002,2015,4,2,2,5_7,2015-05-20,2015-07-16,57.0,False,False
PO018062NRD002,2016,12,5,5,5_6_7_8_9,2016-05-11,2016-09-14,33.5,False,True
PO018062NRD002,2017,12,6,6,4_5_6_7_8_9,2017-04-21,2017-09-14,26.0,True,True
PO018062NRD002,2018,13,6,6,4_5_6_7_8_9,2018-04-16,2018-09-14,32.0,True,True
PO018062NRD002,2019,12,7,6,4_5_6_7_8_9,2019-04-10,2019-09-17,28.0,True,True
PO018062NRD002,2020,10,6,6,4_5_6_7_8_9,2020-04-23,2020-09-15,29.0,True,True
PO018062NRD002,2021,10,4,3,4_5_9,2021-04-26,2021-09-16,30.0,False,False
PO018062NRD002,2022,2,1,1,4,2022-04-28,2022-04-28,,False,False
PO018062NRD002,2023,1,1,1,4,2023-04-27,2023-04-27,,False,False
PO018065NRG001,2015,3,2,2,5_7,2015-05-20,2015-07-16,57.0,False,False
PO018065NRG001,2016,4,2,2,6_8,2016-06-01,2016-08-11,71.0,False,False
PO018065NRG001,2017,4,2,2,5_8,2017-05-17,2017-08-16,91.0,False,False
PO018065NRG001,2018,4,2,2,5_7,2018-05-15,2018-07-16,62.0,False,False
PO018065NRG001,2019,4,2,2,4_8,2019-04-23,2019-08-27,126.0,False,False
PO018065NRG001,2020,3,2,2,6_8,2020-06-24,2020-08-26,63.0,False,False
PO018065NRG001,2021,4,2,2,5_8,2021-05-20,2021-08-25,97.0,False,False
PO018065NRG001,2022,4,2,2,4_8,2022-04-28,2022-08-31,125.0,False,False
PO018065NRG001,2023,3,2,2,4_8,2023-04-27,2023-08-23,118.0,False,False
PO018068NRP001,2015,4,2,2,6_7,2015-06-03,2015-07-29,56.0,False,False
PO018068NRP001,2016,12,6,6,4_5_6_7_8_9,2016-04-21,2016-09-19,30.0,True,True
PO018068NRP001,2017,13,7,6,4_5_6_7_8_9,2017-04-19,2017-09-25,29.5,True,True
PO018068NRP001,2018,13,7,6,4_5_6_7_8_9,2018-04-18,2018-09-24,25.5,True,True
PO018068NRP001,2019,7,4,4,4_5_6_7,2019-04-29,2019-07-23,28.0,False,True
PO0180690U0002,2015,12,6,6,4_5_6_7_8_9,2015-04-23,2015-09-22,30.0,True,True
PO0180690U0002,2016,10,5,5,5_6_7_8_9,2016-05-31,2016-09-15,29.0,False,True
PO0180690U0002,2017,8,5,5,5_6_7_8_9,2017-05-23,2017-09-13,29.0,False,True
PO0180690U0002,2018,11,6,6,4_5_6_7_8_9,2018-04-30,2018-09-20,29.0,True,True
PO0180690U0002,2019,10,5,5,5_6_7_8_9,2019-05-15,2019-09-30,34.5,False,True
PO0180690U0002,2020,2,1,1,6,2020-06-30,2020-06-30,,False,False
PO0180690U0002,2021,5,2,2,5_9,2021-05-11,2021-09-15,127.0,False,False
PO0180690U0002,2022,6,3,3,4_5_6,2022-04-28,2022-06-28,30.5,False,False
PO0180690U0002,2023,2,1,1,5,2023-05-04,2023-05-04,,False,False
PO018072NUP001,2015,2,1,1,7,2015-07-14,2015-07-14,,False,False
PO018072NUP001,2016,10,6,6,4_5_6_7_8_9,2016-04-15,2016-09-30,31.0,True,True
PO018072NUP001,2017,9,5,5,4_6_7_8_9,2017-04-27,2017-09-30,38.0,False,True
PO018072NUP001,2018,12,6,6,4_5_6_7_8_9,2018-04-26,2018-09-30,31.0,True,True
PO018072NUP001,2019,10,5,5,4_6_7_8_9,2019-04-18,2019-09-30,31.0,False,True
PO018072NUP001,2020,5,3,3,6_7_8,2020-06-30,2020-08-30,30.5,False,False
PO018072NUP001,2021,12,6,6,4_5_6_7_8_9,2021-04-22,2021-09-29,31.0,True,True
PO018072NUP001,2022,10,5,5,4_6_7_8_9,2022-04-19,2022-09-30,32.0,False,True
PO018072NUP001,2023,4,2,2,4_8,2023-04-18,2023-08-30,134.0,False,False
PO0180810U0111,2015,2,1,1,7,2015-07-13,2015-07-13,,False,False
PO0180810U0111,2016,6,3,2,5_8,2016-05-02,2016-08-26,58.0,False,False
PO0180810U0111,2017,4,2,2,4_8,2017-04-26,2017-08-22,118.0,False,False
PO0180810U0111,2018,5,3,3,4_6_8,2018-04-23,2018-08-30,64.5,False,False
PO0180810U0111,2019,4,2,2,4_8,2019-04-17,2019-08-30,135.0,False,False
PO0180810U0111,2020,2,1,1,8,2020-08-30,2020-08-30,,False,False
PO0180810U0111,2021,4,3,3,4_8_9,2021-04-21,2021-09-28,80.0,False,False
PO0180810U0111,2022,5,2,2,4_8,2022-04-19,2022-08-30,133.0,False,False
PO0180810U0111,2023,3,2,2,4_8,2023-04-17,2023-08-30,135.0,False,False
PO0180880U0001,2015,12,6,6,4_5_6_7_8_9,2015-04-22,2015-09-21,30.0,True,True
PO0180880U0001,2016,12,6,6,4_5_6_7_8_9,2016-04-19,2016-09-30,32.0,True,True
PO0180880U0001,2017,12,6,6,4_5_6_7_8_9,2017-04-21,2017-09-26,28.0,True,True
PO0180880U0001,2018,11,6,6,4_5_6_7_8_9,2018-04-30,2018-09-25,30.0,True,True
PO0180880U0001,2019,11,5,5,5_6_7_8_9,2019-05-22,2019-09-19,31.5,False,True
PO0180880U0001,2020,7,4,4,6_7_8_9,2020-06-24,2020-09-28,33.0,False,True
PO0180880U0001,2021,5,2,2,5_8,2021-05-19,2021-08-25,98.0,False,False
PO0180880U0001,2022,4,2,2,5_8,2022-05-19,2022-08-31,104.0,False,False
PO0180880U0001,2023,3,2,2,5_8,2023-05-15,2023-08-23,100.0,False,False
PO0181100U0111,2016,10,6,6,4_5_6_7_8_9,2016-04-15,2016-09-30,31.0,True,True
PO0181100U0111,2017,11,5,5,4_6_7_8_9,2017-04-26,2017-09-30,38.0,False,True
PO0181100U0111,2018,13,6,6,4_5_6_7_8_9,2018-04-23,2018-09-30,31.0,True,True
PO0181100U0111,2019,10,5,5,4_6_7_8_9,2019-04-17,2019-09-30,31.0,False,True
PO0181100U0111,2020,5,3,3,6_7_8,2020-06-30,2020-08-30,30.5,False,False
PO0181100U0111,2021,12,6,6,4_5_6_7_8_9,2021-04-21,2021-09-28,31.0,True,True
PO0181100U0111,2022,10,5,5,4_6_7_8_9,2022-04-19,2022-09-30,32.0,False,True
PO0181100U0111,2023,4,2,2,4_8,2023-04-17,2023-08-30,135.0,False,False
PO0181140U0002,2015,11,5,5,4_5_6_7_9,2015-04-21,2015-09-14,35.0,False,True
PO0181140U0002,2016,8,2,2,5_9,2016-05-23,2016-09-15,115.0,False,False
PO0181140U0002,2017,12,6,6,4_5_6_7_8_9,2017-04-30,2017-09-30,31.0,True,True
PO0181140U0002,2018,12,6,6,4_5_6_7_8_9,2018-04-30,2018-09-28,35.0,True,True
PO0181140U0002,2019,3,1,1,5,2019-05-23,2019-05-23,,False,False
PO0181140U0002,2020,5,3,3,7_8_9,2020-07-22,2020-09-30,35.0,False,False
PO0181140U0002,2021,12,6,6,4_5_6_7_8_9,2021-04-21,2021-09-17,31.0,True,True
PO0181140U0002,2022,12,6,6,4_5_6_7_8_9,2022-04-21,2022-09-05,27.0,True,True
PO0181140U0002,2023,12,6,6,4_5_6_7_8_9,2023-04-11,2023-09-12,29.0,True,True
PO0181150U0006,2015,12,6,6,4_5_6_7_8_9,2015-04-22,2015-09-21,32.0,True,True
PO0181150U0006,2016,11,5,5,4_5_6_7_8,2016-04-15,2016-08-10,28.5,False,True
PO0181150U0006,2017,12,6,6,4_5_6_7_8_9,2017-04-13,2017-09-27,35.0,True,True
PO0181150U0006,2018,11,6,6,4_5_6_7_8_9,2018-04-20,2018-09-26,34.0,True,True
PO0181150U0006,2019,9,4,4,6_7_8_9,2019-06-04,2019-09-24,34.0,False,True
PO0181150U0006,2020,7,4,4,6_7_8_9,2020-06-23,2020-09-25,31.0,False,True
PO0181150U0006,2021,7,3,3,6_7_8,2021-06-15,2021-08-26,36.0,False,False
PO0181150U0006,2022,7,3,3,4_5_9,2022-04-27,2022-09-13,69.5,False,False
PO0181150U0006,2023,1,1,1,5,2023-05-24,2023-05-24,,False,False
PO0181180U0019,2015,12,6,6,4_5_6_7_8_9,2015-04-21,2015-09-14,30.0,True,True
PO0181180U0019,2016,12,6,6,4_5_6_7_8_9,2016-04-26,2016-09-23,30.0,True,True
PO0181180U0019,2017,12,6,6,4_5_6_7_8_9,2017-04-21,2017-09-25,30.0,True,True
PO0181180U0019,2018,10,5,5,4_5_7_8_9,2018-04-23,2018-09-24,34.5,False,True
PO0181180U0019,2019,6,2,2,4_5,2019-04-19,2019-05-21,32.0,False,False
PO0181180U0019,2021,1,0,0,,,,,False,False
PO0181180U0019,2022,1,1,1,5,2022-05-30,2022-05-30,,False,False
PO0181220U0001,2015,3,2,2,5_7,2015-05-28,2015-07-20,53.0,False,False
PO0181220U0001,2016,4,2,2,5_8,2016-05-25,2016-08-09,76.0,False,False
PO0181220U0001,2017,4,2,2,5_8,2017-05-25,2017-08-16,83.0,False,False
PO0181220U0001,2018,4,2,2,5_7,2018-05-24,2018-07-31,68.0,False,False
PO0181220U0001,2019,4,2,2,6_8,2019-06-04,2019-08-28,85.0,False,False
PO0181220U0001,2020,3,2,2,6_8,2020-06-23,2020-08-25,63.0,False,False
PO0181220U0001,2021,3,2,2,6_8,2021-06-16,2021-08-26,71.0,False,False
PO0181220U0001,2022,7,3,3,4_5_9,2022-04-27,2022-09-13,69.5,False,False
PO0181220U0001,2023,1,1,1,5,2023-05-24,2023-05-24,,False,False
PO018146NRP001,2015,3,2,2,5_7,2015-05-14,2015-07-15,62.0,False,False
PO018146NRP001,2016,11,6,6,4_5_6_7_8_9,2016-04-19,2016-09-30,32.0,True,True
PO018146NRP001,2017,12,6,6,4_5_6_7_8_9,2017-04-21,2017-09-26,28.0,True,True
PO018146NRP001,2018,11,6,6,4_5_6_7_8_9,2018-04-30,2018-09-25,30.0,True,True
PO018146NRP001,2019,11,5,5,5_6_7_8_9,2019-05-22,2019-09-19,31.5,False,True
PO018146NRP001,2020,7,4,4,6_7_8_9,2020-06-24,2020-09-28,33.0,False,True
PO018146NRP001,2021,2,1,1,5,2021-05-20,2021-05-20,,False,False
PO018147NUP001,2015,3,2,2,5_7,2015-05-14,2015-07-15,62.0,False,False
PO018147NUP001,2016,11,6,6,4_5_6_7_8_9,2016-04-19,2016-09-21,32.0,True,True
PO018147NUP001,2017,12,6,6,4_5_6_7_8_9,2017-04-21,2017-09-26,28.0,True,True
PO018147NUP001,2018,11,6,6,4_5_6_7_8_9,2018-04-30,2018-09-25,30.0,True,True
PO018147NUP001,2019,11,5,5,5_6_7_8_9,2019-05-22,2019-09-19,31.5,False,True
PO018147NUP001,2020,7,4,4,6_7_8_9,2020-06-24,2020-09-28,33.0,False,True
PO018147NUP001,2021,5,2,2,5_8,2021-05-19,2021-08-25,98.0,False,False
PO018147NUP001,2022,4,2,2,5_8,2022-05-19,2022-08-31,104.0,False,False
PO018147NUP001,2023,3,2,2,5_8,2023-05-15,2023-08-23,100.0,False,False
PO0181550U0001,2015,12,6,6,4_5_6_7_8_9,2015-04-22,2015-09-21,32.0,True,True
PO0181550U0001,2016,12,6,6,4_5_6_7_8_9,2016-04-15,2016-09-15,29.0,True,True
PO0181550U0001,2017,12,6,6,4_5_6_7_8_9,2017-04-13,2017-09-27,35.0,True,True
PO0181550U0001,2018,11,6,6,4_5_6_7_8_9,2018-04-20,2018-09-26,34.0,True,True
PO0181550U0001,2019,8,4,4,6_7_8_9,2019-06-04,2019-09-24,34.0,False,True
PO0181550U0001,2020,7,4,4,6_7_8_9,2020-06-23,2020-09-25,31.0,False,True
PO0181550U0001,2021,7,3,3,6_7_8,2021-06-16,2021-08-26,35.5,False,False
PO0181550U0001,2022,7,3,3,4_5_9,2022-04-27,2022-09-13,69.5,False,False
PO0181550U0001,2023,1,1,1,5,2023-05-24,2023-05-24,,False,False
PO018162NUP001,2015,2,1,1,7,2015-07-13,2015-07-13,,False,False
PO018162NUP001,2016,10,6,6,4_5_6_7_8_9,2016-04-15,2016-09-30,31.0,True,True
PO018162NUP001,2017,11,5,5,4_6_7_8_9,2017-04-26,2017-09-30,38.0,False,True
PO018162NUP001,2018,12,6,6,4_5_6_7_8_9,2018-04-23,2018-09-30,31.0,True,True
PO018162NUP001,2019,10,5,5,4_6_7_8_9,2019-04-17,2019-09-30,31.0,False,True
PO018162NUP001,2020,5,3,3,6_7_8,2020-06-30,2020-08-30,30.5,False,False
PO018162NUP001,2021,12,6,6,4_5_6_7_8_9,2021-04-21,2021-09-28,31.0,True,True
PO018162NUP001,2022,10,5,5,4_6_7_8_9,2022-04-19,2022-09-30,32.0,False,True
PO018162NUP001,2023,4,2,2,4_8,2023-04-18,2023-08-30,134.0,False,False
PO018173NUP001,2015,2,1,1,7,2015-07-14,2015-07-14,,False,False
PO018173NUP001,2016,10,6,6,4_5_6_7_8_9,2016-04-15,2016-09-30,31.0,True,True
PO018173NUP001,2017,11,5,5,4_6_7_8_9,2017-04-27,2017-09-30,38.0,False,True
PO018173NUP001,2018,13,6,6,4_5_6_7_8_9,2018-04-26,2018-09-30,31.0,True,True
PO018173NUP001,2019,10,5,5,4_6_7_8_9,2019-04-18,2019-09-30,31.0,False,True
PO018173NUP001,2020,5,3,3,6_7_8,2020-06-30,2020-08-30,30.5,False,False
PO018173NUP001,2021,12,6,6,4_5_6_7_8_9,2021-04-22,2021-09-29,31.0,True,True
PO018173NUP001,2022,10,5,5,4_6_7_8_9,2022-04-20,2022-09-30,32.0,False,True
PO018173NUP001,2023,4,2,2,4_8,2023-04-18,2023-08-29,133.0,False,False
PO018176NUP001,2015,2,1,1,7,2015-07-14,2015-07-14,,False,False
PO018176NUP001,2016,10,6,6,4_5_6_7_8_9,2016-04-15,2016-09-30,31.0,True,True
PO018176NUP001,2017,11,5,5,4_6_7_8_9,2017-04-27,2017-09-30,38.0,False,True
PO018176NUP001,2018,12,6,6,4_5_6_7_8_9,2018-04-26,2018-09-30,31.0,True,True
PO018176NUP001,2019,10,5,5,4_6_7_8_9,2019-04-18,2019-09-30,31.0,False,True
PO018176NUP001,2020,5,3,3,6_7_8,2020-06-30,2020-08-30,30.5,False,False
PO018176NUP001,2021,12,6,6,4_5_6_7_8_9,2021-04-22,2021-09-29,31.0,True,True
PO018176NUP001,2022,10,5,5,4_6_7_8_9,2022-04-20,2022-09-30,32.0,False,True
PO018176NUP001,2023,4,2,2,4_8,2023-04-18,2023-08-29,133.0,False,False
PO0181770U0020,2015,12,6,6,4_5_6_7_8_9,2015-04-22,2015-09-22,31.0,True,True
PO0181770U0020,2016,12,6,6,4_5_6_7_8_9,2016-04-26,2016-09-30,31.0,True,True
PO0181770U0020,2017,8,5,5,5_6_7_8_9,2017-05-23,2017-09-13,29.0,False,True
PO0181770U0020,2018,11,6,6,4_5_6_7_8_9,2018-04-30,2018-09-20,29.0,True,True
PO0181770U0020,2019,9,4,4,5_6_7_9,2019-05-15,2019-09-30,46.0,False,True
PO0181770U0020,2020,2,1,1,6,2020-06-30,2020-06-30,,False,False
PO0181770U0020,2021,5,2,2,5_9,2021-05-12,2021-09-15,126.0,False,False
PO0181770U0020,2022,6,3,3,4_5_6,2022-04-28,2022-06-28,30.5,False,False
PO0181770U0020,2023,2,1,1,5,2023-05-04,2023-05-04,,False,False
PO018180NUP001,2015,3,2,2,5_7,2015-05-27,2015-07-30,64.0,False,False
PO018180NUP001,2016,7,2,2,5_9,2016-05-24,2016-09-15,114.0,False,False
PO018180NUP001,2017,2,1,1,5,2017-05-18,2017-05-18,,False,False
PO018180NUP001,2018,12,6,6,4_5_6_7_8_9,2018-04-30,2018-09-28,35.0,True,True
PO018180NUP001,2019,3,1,1,5,2019-05-23,2019-05-23,,False,False
PO018180NUP001,2020,5,3,3,7_8_9,2020-07-22,2020-09-28,34.0,False,False
PO018180NUP001,2021,12,6,6,4_5_6_7_8_9,2021-04-21,2021-09-17,30.0,True,True
PO018180NUP001,2022,12,6,6,4_5_6_7_8_9,2022-04-21,2022-09-05,27.0,True,True
PO018180NUP001,2023,12,6,6,4_5_6_7_8_9,2023-04-11,2023-09-12,30.0,True,True
