station,year,gw_outcome_available,gw_antecedent_available,gw_complete,n_cells_10km,ff_geometry_positive,ff10_available,P_A8_available,T_A8_available,weather_complete,eligible,removed_by_groundwater,removed_by_ff_after_gw,removed_by_weather_after_gw_ff,exclusion_reason
PO018039NRP001,2022,False,False,False,342,True,True,True,True,True,False,True,False,False,groundwater_incomplete
PO018039NRP001,2023,False,False,False,342,True,True,True,True,True,False,True,False,False,groundwater_incomplete
PO018039NRP001,2024,False,False,False,342,True,True,True,True,True,False,True,False,False,groundwater_incomplete
PO018039NRP001,2025,False,False,False,342,True,True,True,True,True,False,True,False,False,groundwater_incomplete
PO018043NUP001,2022,True,True,True,325,True,True,True,True,True,True,False,False,False,eligible
PO018043NUP001,2023,True,True,True,325,True,True,True,True,True,True,False,False,False,eligible
PO018043NUP001,2024,True,True,True,325,True,True,True,True,True,True,False,False,False,eligible
PO018043NUP001,2025,True,True,True,325,True,True,True,True,True,True,False,False,False,eligible
PO0180470U0001,2022,False,True,False,109,True,True,True,True,True,False,True,False,False,groundwater_incomplete
PO0180470U0001,2023,False,False,False,109,True,True,True,True,True,False,True,False,False,groundwater_incomplete
PO0180470U0001,2024,False,False,False,109,True,True,True,True,True,False,True,False,False,groundwater_incomplete
PO0180470U0001,2025,False,False,False,109,True,True,True,True,True,False,True,False,False,groundwater_incomplete
PO018047NR0001,2022,True,True,True,56,True,True,True,True,True,True,False,False,False,eligible
PO018047NR0001,2023,True,True,True,56,True,True,True,True,True,True,False,False,False,eligible
PO018047NR0001,2024,True,True,True,56,True,True,True,True,True,True,False,False,False,eligible
PO018047NR0001,2025,True,True,True,56,True,True,True,True,True,True,False,False,False,eligible
PO0180480U0004,2022,True,True,True,102,True,True,True,True,True,True,False,False,False,eligible
PO0180480U0004,2023,True,True,True,102,True,True,True,True,True,True,False,False,False,eligible
PO0180480U0004,2024,True,True,True,102,True,True,True,True,True,True,False,False,False,eligible
PO0180480U0004,2025,True,True,True,102,True,True,True,True,True,True,False,False,False,eligible
PO018048NRP001,2022,True,True,True,255,True,True,True,True,True,True,False,False,False,eligible
PO018048NRP001,2023,True,True,True,255,True,True,True,True,True,True,False,False,False,eligible
PO018048NRP001,2024,True,True,True,255,True,True,True,True,True,True,False,False,False,eligible
PO018048NRP001,2025,True,True,True,255,True,True,True,True,True,True,False,False,False,eligible
PO0180490U0003,2022,False,False,False,1,True,True,True,True,True,False,True,False,False,groundwater_incomplete
PO0180490U0003,2023,False,False,False,1,True,True,True,True,True,False,True,False,False,groundwater_incomplete
PO0180490U0003,2024,False,False,False,1,True,True,True,True,True,False,True,False,False,groundwater_incomplete
PO0180490U0003,2025,False,False,False,1,True,True,True,True,True,False,True,False,False,groundwater_incomplete
PO0180500U0002,2022,False,False,False,323,True,True,True,True,True,False,True,False,False,groundwater_incomplete
PO0180500U0002,2023,False,False,False,323,True,True,True,True,True,False,True,False,False,groundwater_incomplete
PO0180500U0002,2024,False,False,False,323,True,True,True,True,True,False,True,False,False,groundwater_incomplete
PO0180500U0002,2025,False,False,False,323,True,True,True,True,True,False,True,False,False,groundwater_incomplete
PO018062NRD002,2022,False,False,False,265,True,True,True,True,True,False,True,False,False,groundwater_incomplete
PO018062NRD002,2023,False,False,False,265,True,True,True,True,True,False,True,False,False,groundwater_incomplete
PO018062NRD002,2024,True,True,True,265,True,True,True,True,True,True,False,False,False,eligible
PO018062NRD002,2025,True,True,True,265,True,True,True,True,True,True,False,False,False,eligible
PO018065NRG001,2022,True,True,True,173,True,True,True,True,True,True,False,False,False,eligible
PO018065NRG001,2023,True,False,False,173,True,True,True,True,True,False,True,False,False,groundwater_incomplete
PO018065NRG001,2024,False,True,False,173,True,True,True,True,True,False,True,False,False,groundwater_incomplete
PO018065NRG001,2025,True,True,True,173,True,True,True,True,True,True,False,False,False,eligible
PO018068NRP001,2022,False,False,False,241,True,True,True,True,True,False,True,False,False,groundwater_incomplete
PO018068NRP001,2023,False,False,False,241,True,True,True,True,True,False,True,False,False,groundwater_incomplete
PO018068NRP001,2024,False,False,False,241,True,True,True,True,True,False,True,False,False,groundwater_incomplete
PO018068NRP001,2025,False,False,False,241,True,True,True,True,True,False,True,False,False,groundwater_incomplete
PO0180690U0002,2022,False,False,False,290,True,True,True,True,True,False,True,False,False,groundwater_incomplete
PO0180690U0002,2023,False,True,False,290,True,True,True,True,True,False,True,False,False,groundwater_incomplete
PO0180690U0002,2024,False,False,False,290,True,True,True,True,True,False,True,False,False,groundwater_incomplete
PO0180690U0002,2025,False,False,False,290,True,True,True,True,True,False,True,False,False,groundwater_incomplete
PO018072NUP001,2022,True,True,True,287,True,True,True,True,True,True,False,False,False,eligible
PO018072NUP001,2023,True,True,True,287,True,True,True,True,True,True,False,False,False,eligible
PO018072NUP001,2024,True,True,True,287,True,True,True,True,True,True,False,False,False,eligible
PO018072NUP001,2025,True,True,True,287,True,True,True,True,True,True,False,False,False,eligible
PO0180810U0111,2022,True,True,True,191,True,True,True,True,True,True,False,False,False,eligible
PO0180810U0111,2023,True,True,True,191,True,True,True,True,True,True,False,False,False,eligible
PO0180810U0111,2024,True,True,True,191,True,True,True,True,True,True,False,False,False,eligible
PO0180810U0111,2025,True,True,True,191,True,True,True,True,True,True,False,False,False,eligible
PO0180880U0001,2022,True,True,True,308,True,True,True,True,True,True,False,False,False,eligible
PO0180880U0001,2023,True,False,False,308,True,True,True,True,True,False,True,False,False,groundwater_incomplete
PO0180880U0001,2024,True,False,False,308,True,True,True,True,True,False,True,False,False,groundwater_incomplete
PO0180880U0001,2025,True,True,True,308,True,True,True,True,True,True,False,False,False,eligible
PO0180930U0006,2022,False,False,False,169,True,True,True,True,True,False,True,False,False,groundwater_incomplete
PO0180930U0006,2023,False,False,False,169,True,True,True,True,True,False,True,False,False,groundwater_incomplete
PO0180930U0006,2024,False,False,False,169,True,True,True,True,True,False,True,False,False,groundwater_incomplete
PO0180930U0006,2025,False,False,False,169,True,True,True,True,True,False,True,False,False,groundwater_incomplete
PO0181100U0111,2022,True,True,True,270,True,True,True,True,True,True,False,False,False,eligible
PO0181100U0111,2023,True,True,True,270,True,True,True,True,True,True,False,False,False,eligible
PO0181100U0111,2024,True,True,True,270,True,True,True,True,True,True,False,False,False,eligible
PO0181100U0111,2025,True,True,True,270,True,True,True,True,True,True,False,False,False,eligible
PO0181140U0002,2022,True,True,True,127,True,True,True,True,True,True,False,False,False,eligible
PO0181140U0002,2023,True,True,True,127,True,True,True,True,True,True,False,False,False,eligible
PO0181140U0002,2024,True,True,True,127,True,True,True,True,True,True,False,False,False,eligible
PO0181140U0002,2025,True,True,True,127,True,True,True,True,True,True,False,False,False,eligible
PO0181150U0006,2022,False,True,False,28,True,True,True,True,True,False,True,False,False,groundwater_incomplete
PO0181150U0006,2023,False,False,False,28,True,True,True,True,True,False,True,False,False,groundwater_incomplete
PO0181150U0006,2024,False,False,False,28,True,True,True,True,True,False,True,False,False,groundwater_incomplete
PO0181150U0006,2025,False,False,False,28,True,True,True,True,True,False,True,False,False,groundwater_incomplete
PO0181180U0019,2022,False,False,False,82,True,True,True,True,True,False,True,False,False,groundwater_incomplete
PO0181180U0019,2023,False,False,False,82,True,True,True,True,True,False,True,False,False,groundwater_incomplete
PO0181180U0019,2024,False,False,False,82,True,True,True,True,True,False,True,False,False,groundwater_incomplete
PO0181180U0019,2025,False,False,False,82,True,True,True,True,True,False,True,False,False,groundwater_incomplete
PO0181220U0001,2022,False,True,False,0,False,False,True,True,True,False,True,False,False,groundwater_incomplete
PO0181220U0001,2023,False,False,False,0,False,False,True,True,True,False,True,False,False,groundwater_incomplete
PO0181220U0001,2024,False,False,False,0,False,False,True,True,True,False,True,False,False,groundwater_incomplete
PO0181220U0001,2025,False,False,False,0,False,False,True,True,True,False,True,False,False,groundwater_incomplete
PO018146NRP001,2022,False,False,False,297,True,True,True,True,True,False,True,False,False,groundwater_incomplete
PO018146NRP001,2023,False,False,False,297,True,True,True,True,True,False,True,False,False,groundwater_incomplete
PO018146NRP001,2024,False,False,False,297,True,True,True,True,True,False,True,False,False,groundwater_incomplete
PO018146NRP001,2025,False,False,False,297,True,True,True,True,True,False,True,False,False,groundwater_incomplete
PO018147NUP001,2022,True,True,True,288,True,True,True,True,True,True,False,False,False,eligible
PO018147NUP001,2023,True,False,False,288,True,True,True,True,True,False,True,False,False,groundwater_incomplete
PO018147NUP001,2024,True,True,True,288,True,True,True,True,True,True,False,False,False,eligible
PO018147NUP001,2025,True,True,True,288,True,True,True,True,True,True,False,False,False,eligible
PO0181550U0001,2022,False,True,False,0,False,False,True,True,True,False,True,False,False,groundwater_incomplete
PO0181550U0001,2023,False,False,False,0,False,False,True,True,True,False,True,False,False,groundwater_incomplete
PO0181550U0001,2024,False,False,False,0,False,False,True,True,True,False,True,False,False,groundwater_incomplete
PO0181550U0001,2025,False,False,False,0,False,False,True,True,True,False,True,False,False,groundwater_incomplete
PO018162NUP001,2022,True,True,True,171,True,True,True,True,True,True,False,False,False,eligible
PO018162NUP001,2023,True,True,True,171,True,True,True,True,True,True,False,False,False,eligible
PO018162NUP001,2024,True,True,True,171,True,True,True,True,True,True,False,False,False,eligible
PO018162NUP001,2025,True,True,True,171,True,True,True,True,True,True,False,False,False,eligible
PO018173NUP001,2022,True,True,True,280,True,True,True,True,True,True,False,False,False,eligible
PO018173NUP001,2023,True,True,True,280,True,True,True,True,True,True,False,False,False,eligible
PO018173NUP001,2024,True,True,True,280,True,True,True,True,True,True,False,False,False,eligible
PO018173NUP001,2025,True,True,True,280,True,True,True,True,True,True,False,False,False,eligible
PO018176NUP001,2022,True,True,True,324,True,True,True,True,True,True,False,False,False,eligible
PO018176NUP001,2023,True,True,True,324,True,True,True,True,True,True,False,False,False,eligible
PO018176NUP001,2024,True,True,True,324,True,True,True,True,True,True,False,False,False,eligible
PO018176NUP001,2025,True,True,True,324,True,True,True,True,True,True,False,False,False,eligible
PO0181770U0020,2022,False,False,False,243,True,True,True,True,True,False,True,False,False,groundwater_incomplete
PO0181770U0020,2023,False,True,False,243,True,True,True,True,True,False,True,False,False,groundwater_incomplete
PO0181770U0020,2024,False,False,False,243,True,True,True,True,True,False,True,False,False,groundwater_incomplete
PO0181770U0020,2025,False,False,False,243,True,True,True,True,True,False,True,False,False,groundwater_incomplete
PO018180NUP001,2022,True,True,True,247,True,True,True,True,True,True,False,False,False,eligible
PO018180NUP001,2023,True,True,True,247,True,True,True,True,True,True,False,False,False,eligible
PO018180NUP001,2024,True,True,True,247,True,True,True,True,True,True,False,False,False,eligible
PO018180NUP001,2025,True,True,True,247,True,True,True,True,True,True,False,False,False,eligible
PO0181870U0001,2022,False,False,False,56,True,True,True,True,True,False,True,False,False,groundwater_incomplete
PO0181870U0001,2023,False,False,False,56,True,True,True,True,True,False,True,False,False,groundwater_incomplete
PO0181870U0001,2024,False,False,False,56,True,True,True,True,True,False,True,False,False,groundwater_incomplete
PO0181870U0001,2025,False,False,False,56,True,True,True,True,True,False,True,False,False,groundwater_incomplete
