"dataset_title","persistent_id","url","publication_date","description","authors","subjects","type"
"Agricultural season 2019","doi:10.13130/RD_UNIMI/LQAFO9","https://doi.org/10.13130/RD_UNIMI/LQAFO9","2025-10-24T14:37:00Z","This dataset includes data collected during the 2019 agricultural season from pilot fields located in Lomellina (Italy), under three irrigation methods: Wet Seeding with continuous Flooding (WFL), Dry Seeding with delayed Flooding (DFL), and Alternate Wetting and Drying (AWD). It also includes the experimental layout and the rice variety cultivated in the pilot fields.","Gharsallah, Olfa","Agricultural Sciences; Earth and Environmental Sciences","dataset"
"Agricultural season 2020","doi:10.13130/RD_UNIMI/OZSVBI","https://doi.org/10.13130/RD_UNIMI/OZSVBI","2025-10-24T14:37:18Z","This dataset contains data collected at pilot fields: Wet Seeding and continuous Flooding irrigation (WFL), Dry seeding and delayed FLooding (DFL), and Alternate Wetting and Drying (AWD), during the agricultural season 2020. It contains also the Experimental layout, and the rice variety cultivated in the pilot fields.","Gharsallah, Olfa","Agricultural Sciences; Earth and Environmental Sciences","dataset"
"Agricultural season 2019","doi:10.13130/RD_UNIMI/FDQL63","https://doi.org/10.13130/RD_UNIMI/FDQL63","2025-10-24T14:38:09Z","This dataset contains data collected during the 2019 agricultural season as part of the Baix Ter case study (CS2), where three irrigation strategies were tested: (i) wet seeding with continuous flooding (WFL); (ii) dry seeding with delayed flooding starting from the three-leaf stage (DFL); and (iii) dry seeding with subsurface drip irrigation (SDI). WFL and DFL were applied at the Mas Pla pilot farm, located in the Pals area within a traditional rice-growing region. SDI was implemented at the Camp del Cobert pilot farm, also in Pals, but outside the conventional rice cultivation area. The dataset also includes the experimental layouts of the FL and SDI pilot fields, as well as the rice varieties cultivated in those fields.","Pinsach, Jaume","Agricultural Sciences; Earth and Environmental Sciences","dataset"
"Agricultural season 2020","doi:10.13130/RD_UNIMI/BDYJEY","https://doi.org/10.13130/RD_UNIMI/BDYJEY","2025-10-27T12:11:56Z","This dataset contains data collected during the 2020 agricultural season in the Nile Delta case study (Egypt). Four irrigation strategies were tested: in the Northern Nile Delta, traditional flooding (WFL) and HYBRID, each tested with two water qualities (freshwater and drainage water); and in the Eastern Nile Delta, sprinkler irrigation and surface drip irrigation. For each strategy, three cultivation methods were applied (drill seeding, raised beds, and the System of Rice Intensification (SRI)) in combination with five rice varieties (Giza 177, Giza 178, Sakha Super 300, Hybrid Rice-EH1, and Dry Rice-L1). The dataset also includes the experimental field layouts and detailed information on the cultivated rice varieties.","Abdrabbo Shehata","Agricultural Sciences; Earth and Environmental Sciences","dataset"
"Agricultural season 2021","doi:10.13130/RD_UNIMI/FFENIN","https://doi.org/10.13130/RD_UNIMI/FFENIN","2025-10-27T12:12:08Z","This dataset contains data collected during the 2021 agricultural season in the Nile Delta case study (Egypt). Four irrigation strategies were tested: in the Northern Nile Delta, traditional flooding (WFL) and HYBRID, each tested with two water qualities (freshwater and drainage water); and in the Eastern Nile Delta, sprinkler irrigation and surface drip irrigation. For each strategy, three cultivation methods were applied (drill seeding, raised beds, and the System of Rice Intensification (SRI)) in combination with five rice varieties (Giza 177, Giza 178, Sakha Super 300, Hybrid Rice-EH1, and Dry Rice-L1). The dataset also includes the experimental field layouts and detailed information on the cultivated rice varieties.","Abdrabbo Shehata","Agricultural Sciences; Earth and Environmental Sciences","dataset"
"Agricultural season 2019","doi:10.13130/RD_UNIMI/0ZXBCN","https://doi.org/10.13130/RD_UNIMI/0ZXBCN","2025-10-27T12:12:44Z","This dataset contains data collected during the 2019 agricultural season in the Nile Delta (Egypt). The experiment was conducted in pilot fields at the pilot farm Sakha (North Nile Delta) under traditional flooding (WFL) using both fresh water and drainage water. Three cultivation methods were tested (drill seeding, raised beds, and the System of Rice Intensification), along with five rice varieties (Giza 177, Giza 178, Sakha 107, Hybrid Rice-EH1, and Dry Rice-L1). The dataset also includes the experimental field layouts and details of the cultivated rice varieties.","Abdrabbo Shehata","Agricultural Sciences; Earth and Environmental Sciences","dataset"
"Agricultural season 2021","doi:10.13130/RD_UNIMI/XANAWW","https://doi.org/10.13130/RD_UNIMI/XANAWW","2025-10-27T12:22:52Z","This dataset contains data collected during the 2021 agricultural season for the Baix Ter case study (CS2). The irrigation strategies applied were similar to those used in 2020: wet seeding with continuous flooding (WFL), dry seeding with delayed flooding (DFL), and dry seeding with subsurface drip irrigation (SDI). As in the previous year, the SDI method was implemented in two pilot farms: Camp del Cobert and Benzinera, both located in Pals. The dataset also includes the experimental layouts of the pilot fields and the rice varieties cultivated under each irrigation treatment.","Pinsach Boada, Jaume","Agricultural Sciences; Earth and Environmental Sciences; Engineering","dataset"
"Agricultural season 2020","doi:10.13130/RD_UNIMI/6ZYTLN","https://doi.org/10.13130/RD_UNIMI/6ZYTLN","2025-10-27T12:23:02Z","This dataset includes data collected during the 2020 agricultural season as part of the Baix Ter case study (CS2). The irrigation strategies tested were similar to those implemented in 2019: wet seeding with continuous flooding (WFL), dry seeding with delayed flooding (DFL), and dry seeding with subsurface drip irrigation (SDI). In 2020, an additional SDI pilot field was introduced at the Benzinera pilot farm, located in Pals within the traditional rice-growing area. In addition, the dataset includes the experimental layouts of the pilot fields and the rice varieties cultivated under each irrigation strategy.","Pinsach Boada, Jaume","Agricultural Sciences","dataset"
"Agricultural season 2020","doi:10.13130/RD_UNIMI/CAKM7U","https://doi.org/10.13130/RD_UNIMI/CAKM7U","2025-10-27T15:10:49Z","This dataset contains data collected during the 2020 agricultural season in the Bafra Valley (Turkey). In 2020, six irrigation management strategies were tested, with three replicates, considering two rice varieties. The six irrigation managements were: 1) WFL: dry seeding and immediate field flooding + continuous flooding; 2) AWD(-5): dry seeding and immediate field flooding + alternate wetting and drying (water tube threshold level at which the flooding condition was restored in the plot equal to -5 cm below the soil surface); 3) AWD(-10): dry seeding and immediate field flooding + alternate wetting and drying (water tube threshold equal to -10 cm below the soil surface); 4) AWD(-15): dry seeding and immediate field flooding + alternate wetting and drying (water tube threshold equal to -15 cm below the soil surface); 5) Drip irrigation 1.75 x pan evaporation (Epan); 6) Drip irrigation 2.0 x pan evaporation (Epan).The dataset also includes the experimental field layouts and details of the cultivated rice varieties.","Enginsu Melih","Agricultural Sciences; Earth and Environmental Sciences","dataset"
"Agricultural season 2021","doi:10.13130/RD_UNIMI/LLAQ5P","https://doi.org/10.13130/RD_UNIMI/LLAQ5P","2025-10-27T15:10:59Z","This dataset contains data collected during the 2021 agricultural season in the Bafra Valley (Turkey). In 2021, two irrigation management strategies were tested, cultivating only one rice variety (Rekor CL). The tow irrigation managements were: 1) WFL: dry seeding and immediate field flooding + continuous flooding; 2) 2) AWD(-15): dry seeding and immediate field flooding + alternate wetting and drying (water tube threshold equal to -15 cm below the soil surface). The dataset also includes the experimental field layouts and details of the cultivated rice varieties.","Enginsu Melih","Agricultural Sciences; Earth and Environmental Sciences","dataset"
"Agricultural season 2019","doi:10.13130/RD_UNIMI/XJZECJ","https://doi.org/10.13130/RD_UNIMI/XJZECJ","2025-10-27T15:11:27Z","This dataset contains data collected during the 2019 agricultural season in the Bafra Valley (Turkey). In 2019, six irrigation management strategies were tested, with three replicates, considering two rice varieties: thus, a total of 36 plots (5x5 m2) were established. The six irrigation managements were: 1) WFL: water transplanted rice and continuous flooding; 2) AWD(-5): water transplanted rice and alternate wetting and drying (water tube threshold level at which the flooding condition was restored in the plot equal to -5 cm below the soil surface); 3) AWD(-10): water transplanted rice and alternate wetting and drying (water tube threshold equal to -10 cm below the soil surface); 4) AWD(-15): water transplanted rice and alternate wetting and drying (water tube threshold equal to -15 cm below the soil surface); 5) Drip irrigation 1.75 x pan evaporation (Epan); 6) Drip irrigation 2.0 x pan evaporation (Epan).The dataset also includes the experimental field layouts and details of the cultivated rice varieties.","Enginsu Melih","Agricultural Sciences; Earth and Environmental Sciences","dataset"
