"year","treatment","sheet","n_matches","variables"
"2020","DFL","Irrig","13","Date || Irrig inflow (mm)
 || Irrig water ponding water level in the field (mm) || Irrig water salinity (dS/m) || IRRIGATION || Pesticides content: Clomazone (µg/L) inflow (E1) || Pesticides content: Clomazone (µg/L) inflow (E6) || Pesticides content: Clomazone (µg/L) outflow (U6) || Pesticides content: MCPA (µg/L) inflow (E1) || Pesticides content: MCPA (µg/L) inflow (E6) || Pesticides content: MCPA (µg/L) outflow (U6) || Sampling point for nutrients (N, P, K) and pesticides (MCPA, Clomazone) analysis                                                                                                                                                                                                                                                              E(in): irrigation inlet                                                                                                                                                                                                                                                                                                  U(out): irrigation outlet"
"2020","WFL","Irrig","11","Date || Irrig inflow (mm)
E1 (Flowmeter at inlet) || Irrig outflow (mm)
 U3 (flowmeter at outlet) || Irrig water ponding water level in the field (mm) || Irrig water salinity (dS/m) || IRRIGATION || Pesticides content: Clomazone (µg/L) inflow (E1) || Pesticides content: Clomazone (µg/L) outflow (U3) || Pesticides content: MCPA (µg/L) inflow (E1) || Pesticides content: MCPA (µg/L) outflow (U3) || Sampling point for nutrients (N, P, K) and pesticides (MCPA, Clomazone) analysis                                                                                                                                                                                                                                                              E(in): irrigation inlet                                                                                                                                                                                                                                                                                                  U(out): irrigation outlet"
"2019","AWD","Managem oper","13","Date || Depth || Depth (cm) || Levelling || SOIL, CROP AND IRRIGATION MANAGEMENT OPERATIONS || Variety || Year and plot"
"2019","DFL","Managem oper","13","Date || Depth || Depth (cm) || Levelling || SOIL, CROP, AND IRRIGATION MANAGEMENT OPERATIONS || Variety || Year and plot"
"2019","WFL","Managem oper","13","Date || Depth || Depth (cm) || Levelling || SOIL, CROP AND IRRIGATION MANAGEMENT OPERATIONS || Variety || Year and plot"
"2020","AWD","Managem oper","13","Date || Depth || Depth (cm) || Levelling || SOIL, CROP AND IRRIGATION MANAGEMENT OPERATIONS || Variety || Year and plot"
"2020","DFL","Managem oper","13","Date || Depth || Depth (cm) || Levelling || SOIL, CROP, AND IRRIGATION MANAGEMENT OPERATIONS || Variety || Year and plot"
"2020","WFL","Managem oper","13","Date || Depth || Depth (cm) || Levelling || SOIL, CROP AND IRRIGATION MANAGEMENT OPERATIONS || Variety || Year and plot"
"2019","AWD","Other water","19","Date || Delta L (mm) daily change in ponding water storage computed at the end of the day [end of day(i) - end of day(i-1)]. || Delta S (mm) daily change in water stored within the soil layer above the LCL (Less Conductive Layer) computed at the end of the day [end of day(i) - end of day(i-1)]. || Delta_L (mm) || Delta_S (mm) || ETc_Adj(mm) || ETc_Adj(mm): daily actual evapotranspiration. || h_lev (mm) || h_lev (mm) is the measured ponding water level in the parcel (average value during the day). || OTHER WATER (OR NUTRIENT, OR PESTICIDE) BALANCE COMPONENTS || Perc_Bal (mm) || Perc_Bal (mm) is the percolation under the LCL (Less Conductive Layer, also called hardpan, usually located under the plugged horizon) obtained from the water balance (Qin-Qout +Rain -Etc_Adj -Delta_L -Delta_S). || Perc_MODEL (mm) || Perc_MODEL (mm) is the percolation under the LCL (Less Conductive Layer, also called hardpan, usually located under the plugged horizon), modelled with a distributed Darcy-type model. || Qin (mm) || Qin (mm) and Qout (mm) are the irrigation fluxes (L/s average in the day) entering and exiting the parcel through the irrigation inlet and outlet, divided by the parcel surface (1400.30 m2).  || Qout (mm) || Rain (mm): daily rainfall. || Rain(mm)"
"2019","DFL","Other water","19","Date || Delta L (mm) daily change in ponding water storage computed at the end of the day [end of day(i) - end of day(i-1)]. || Delta S (mm) daily change in water stored within the soil layer above the LCL (Less Conductive Layer) computed at the end of the day [end of day(i) - end of day(i-1)]. || Delta_L (mm) || Delta_S (mm) || ETc_Adj(mm) || ETc_Adj(mm): daily actual evapotranspiration. || h_lev (mm) || h_lev (mm) is the measured ponding water level in the parcel (average value during the day). || OTHER WATER (OR NUTRIENT, OR PESTICIDE) BALANCE COMPONENTS || Perc_Bal (mm) || Perc_Bal (mm) is the percolation under the LCL (Less Conductive Layer, also called hardpan, usually located under the plugged horizon) obtained from the water balance (Qin-Qout +Rain -Etc_Adj -Delta_L -Delta_S). || Perc_MODEL (mm) || Perc_MODEL (mm) is the percolation under the LCL (Less Conductive Layer, also called hardpan, usually located under the plugged horizon), modelled with a distributed Darcy-type model. || Qin (mm) || Qin (mm) and Qout (mm) are the irrigation fluxes (L/s average in the day) entering and exiting the parcel through the irrigation inlet and outlet, divided by the parcel surface (1400.30 m2).  || Qout (mm) || Rain (mm): daily rainfall. || Rain(mm)"
"2019","WFL","Other water","19","Date || Delta L (mm) daily change in ponding water storage computed at the end of the day [end of day(i) - end of day(i-1)]. || Delta S (mm) daily change in water stored within the soil layer above the LCL (Less Conductive Layer) computed at the end of the day [end of day(i) - end of day(i-1)]. || Delta_L (mm) || Delta_S (mm) || ETc_Adj(mm) || ETc_Adj(mm): daily actual evapotranspiration. || h_lev (mm) || h_lev (mm) is the measured ponding water level in the parcel (average value during the day). || OTHER WATER (OR NUTRIENT, OR PESTICIDE) BALANCE COMPONENTS || Perc_Bal (mm) || Perc_Bal (mm) is the percolation under the LCL (Less Conductive Layer, also called hardpan, usually located under the plugged horizon) obtained from the water balance (Qin-Qout +Rain -Etc_Adj -Delta_L -Delta_S). || Perc_MODEL (mm) || Perc_MODEL (mm) is the percolation under the LCL (Less Conductive Layer, also called hardpan, usually located under the plugged horizon), modelled with a distributed Darcy-type model. || Qin (mm) || Qin (mm) and Qout (mm) are the irrigation fluxes (L/s average in the day) entering and exiting the parcel through the irrigation inlet and outlet, divided by the parcel surface (1400.30 m2).  || Qout (mm) || Rain (mm): daily rainfall. || Rain(mm)"
"2020","AWD","Other water","22","Date || Delta L (mm) daily change in ponding water storage computed at the end of the day [end of day(i) - end of day(i-1)] || Delta S (mm) daily change in water stored within the soil layer above the LCL (Less Conductive Layer) computed at the end of the day [end of day(i) - end of day(i-1)] || Delta_L (mm) || Delta_S (mm) || ETc_Adj(mm) || h_lev (mm) || h_lev (mm) is the measured ponding water level in the parcel (average value during the day) || OTHER WATER (OR NUTRIENT, OR PESTICIDE) BALANCE COMPONENTS || Perc_Bal (mm) || Perc_Bal (mm) percolation obtained from the water balance (Qnet_meas +Rain -Etc_Adj -Delta_L -Delta_S) || Perc_MODEL (mm) is the percolation under the LCL (Less Conductive Layer, also called hardpan, usually located under the plugged horizon), modelled with the distributed Darcy model (see MEDWATERICE paper for better explanations). || Perc_MODEL_havier_soil (mm) percolation obtained by the distributed Darcy model considering only the zone having low Ks (Ks is obtained by calibration, objective was a proxy of the difference between Qnet_model and Qnet_meas) || Perc_MODEL_havier_soil_zone (mm) || Qin (mm) || Qin (mm) and Qout (mm) are the irrigation fluxes (L/s average in the day) entering and exiting the parcel through the irrigation inlet and outlet, divided by the parcel surface (1400.30 m2). Fluxes are corrected when clear affected by errors (see paper MEDWATERICE for better explanations). || Qnet_meas (mm) || Qnet_meas (mm) is the net irrigation (i.e. Qin-Qout) obtained by the measured Qin and Qout (mm) || Qnet_MODEL (mm) is the net irrigation (i.e. Qin-Qout) obtained by inverting the distributed Darcy model (i.e. it is the net water supply needed to close the balance; once the soil characteristics have been calibrated and Perc_MODEL has been simulated) || Qout (mm) || Rain and ETc_Adj pasted here from sheets perc_mm and ET_mm to allow an easier comparison || Rain(mm)"
"2020","DFL","Other water","20","Date || Delta L (mm) daily change in ponding water storage computed at the end of the day [end of day(i) - end of day(i-1)] || Delta S (mm) daily change in water stored within the soil layer above the LCL (Less Conductive Layer) computed at the end of the day [end of day(i) - end of day(i-1)] || ETc_Adj(mm) || h_lev (mm) || h_lev (mm) is the measured ponding water level in the parcel (average value during the day) || OTHER WATER (OR NUTRIENT, OR PESTICIDE) BALANCE COMPONENTS || Perc_Bal (mm) || Perc_Bal (mm) percolation obtained from the water balance (Qnet_meas +Rain -Etc_Adj -Delta_L -Delta_S) || Perc_MODEL (mm) is the percolation under the LCL (Less Conductive Layer, also called hardpan, usually located under the plugged horizon), modelled with the distributed Darcy model (see MEDWATERICE paper for better explanations). || Perc_MODEL_havier_soil (mm) percolation obtained by the distributed Darcy model considering only the zone having low Ks (Ks is obtained by calibration, objective was a proxy of the difference between Qnet_model and Qnet_meas) || Perc_MODEL_havier_soil_zone (mm) || Qin (mm) || Qin (mm) and Qout (mm) are the irrigation fluxes (L/s average in the day) entering and exiting the parcel through the irrigation inlet and outlet, divided by the parcel surface (1400.30 m2). Fluxes are corrected when clear affected by errors (see paper MEDWATERICE for better explanations). || Qnet_meas (mm) || Qnet_meas (mm) is the net irrigation (i.e. Qin-Qout) obtained by the measured Qin and Qout (mm) || Qnet_MODEL (mm) is the net irrigation (i.e. Qin-Qout) obtained by inverting the distributed Darcy model (i.e. it is the net water supply needed to close the balance; once the soil characteristics have been calibrated and Perc_MODEL has been simulated) || Qout (mm) || Rain and ETc_Adj pasted here from sheets perc_mm and ET_mm to allow an easier comparison || Rain(mm)"
"2020","WFL","Other water","22","DATE || Delta L (mm) daily change in ponding water storage computed at the end of the day [end of day(i) - end of day(i-1)] || Delta S (mm) daily change in water stored within the soil layer above the LCL (Less Conductive Layer) computed at the end of the day [end of day(i) - end of day(i-1)] || Delta_L (mm) || Delta_S (mm) || ETc_Adj(mm) || h_lev (mm) || h_lev (mm) is the measured ponding water level in the parcel (average value during the day) || OTHER WATER (OR NUTRIENT, OR PESTICIDE) BALANCE COMPONENTS || Perc_Bal (mm) || Perc_Bal (mm) percolation obtained from the water balance (Qnet_meas +Rain -Etc_Adj -Delta_L -Delta_S) || Perc_MODEL (mm) is the percolation under the LCL (Less Conductive Layer, also called hardpan, usually located under the plugged horizon), modelled with the distributed Darcy model (see MEDWATERICE paper for better explanations). || Perc_MODEL_havier_soil (mm) percolation obtained by the distributed Darcy model considering only the zone having low Ks (Ks is obtained by calibration, objective was a proxy of the difference between Qnet_model and Qnet_meas) || Perc_MODEL_havier_soil_zone (mm) || Qin (mm) || Qin (mm) and Qout (mm) are the irrigation fluxes (L/s average in the day) entering and exiting the parcel through the irrigation inlet and outlet, divided by the parcel surface (1400.30 m2). Fluxes are corrected when clear affected by errors (see paper MEDWATERICE for better explanations). || Qnet_meas (mm) || Qnet_meas (mm) is the net irrigation (i.e. Qin-Qout) obtained by the measured Qin and Qout (mm) || Qnet_MODEL (mm) is the net irrigation (i.e. Qin-Qout) obtained by inverting the distributed Darcy model (i.e. it is the net water supply needed to close the balance; once the soil characteristics have been calibrated and Perc_MODEL has been simulated) || Qout (mm) || Rain and ETc_Adj pasted here from sheets perc_mm and ET_mm to allow an easier comparison || Rain(mm)"
"2019","AWD","Yield+product","17","Cadmium of rice grain (μg kg-1) || Date || Head rice yield (%) || Milled rice yield (%) || MMA(V) μg kg-1 || N % content (grain) || Plot || Rice grain yield at 14% humidity (t/ha) || Straw yield if sold (t/ha) || YIELD AND PRODUCT QUALITY || Yield comp Harvest Index
 || Yield comp
Chalkiness (%) || Yield comp
Damaged kernels (%) || Yield comp
Nº of grains by panicle || Yield comp
Nº panic/m2 || Yield comp
Sterility (%) || Yield comp
Weight of 1000 grains at 14% hum (g)"
"2019","DFL","Yield+product","17","Cadmium of rice grain (μg kg-1) || Date || Head rice yield (%) || Milled rice yield (%) || MMA(V) μg kg-1 || N % content (grain) || Plot || Rice grain yield at 14% humidity (t/ha) || Straw yield if sold (t/ha) || YIELD AND PRODUCT QUALITY || Yield comp Harvest Index
 || Yield comp
Chalkiness (%) || Yield comp
Damaged kernels (%) || Yield comp
Nº of grains by panicle || Yield comp
Nº panic/m2 || Yield comp
Sterility (%) || Yield comp
Weight of 1000 grains at 14% hum (g)"
"2019","WFL","Yield+product","17","Cadmium of rice grain (μg kg-1) || Date || Head rice yield (%) || Milled rice yield (%) || MMA(V) μg kg-1 || N % content (grain) || Plot || Rice grain yield at 14% humidity (t/ha) || Straw yield if sold (t/ha) || YIELD AND PRODUCT QUALITY || Yield comp Harvest Index
 || Yield comp
Chalkiness (%) || Yield comp
Damaged kernels (%) || Yield comp
Nº of grains by panicle || Yield comp
Nº panic/m2 || Yield comp
Sterility (%) || Yield comp
Weight of 1000 grains at 14% hum (g)"
"2020","AWD","Yield+product","17","Cadmium of rice grain (μg kg-1) || Date || Head rice yield (%) || Milled rice yield (%) || MMA(V) μg kg-1 || N % content (grain) || Plot || Rice grain yield at 14% humidity (t/ha) || Straw yield if sold (t/ha) || YIELD AND PRODUCT QUALITY || Yield comp Harvest Index
 || Yield comp
Chalkiness (%) || Yield comp
Damaged kernels (%) || Yield comp
Nº of grains by panicle || Yield comp
Nº panic/m2 || Yield comp
Sterility (%) || Yield comp
Weight of 1000 grains at 14% hum (g)"
"2020","DFL","Yield+product","17","Cadmium of rice grain (μg kg-1) || Date || Head rice yield (%) || Milled rice yield (%) || MMA(V) μg kg-1 || N % content (grain) || Plot || Rice grain yield at 14% humidity (t/ha) || Straw yield if sold (t/ha) || YIELD AND PRODUCT QUALITY || Yield comp Harvest Index
 || Yield comp
Chalkiness (%) || Yield comp
Damaged kernels (%) || Yield comp
Nº of grains by panicle || Yield comp
Nº panic/m2 || Yield comp
Sterility (%) || Yield comp
Weight of 1000 grains at 14% hum (g)"
"2020","WFL","Yield+product","17","Cadmium of rice grain (μg kg-1) || Date || Head rice yield (%) || Milled rice yield (%) || MMA(V) μg kg-1 || N % content (grain) || Plot || Rice grain yield at 14% humidity (t/ha) || Straw yield if sold (t/ha) || YIELD AND PRODUCT QUALITY || Yield comp Harvest Index
 || Yield comp
Chalkiness (%) || Yield comp
Damaged kernels (%) || Yield comp
Nº of grains by panicle || Yield comp
Nº panic/m2 || Yield comp
Sterility (%) || Yield comp
Weight of 1000 grains at 14% hum (g)"
